PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
59,1,2,"west, miss. constance mirium",1,5.0,1,2,C.A. 34651,27.75,,0
60,0,3,"goodwin, master. william frederick",0,11.0,5,2,CA 2144,46.9,,0
61,0,3,"sirayanian, mr. orsen",0,22.0,0,0,2669,7.23,,1
64,0,3,"skoog, master. harald",0,4.0,3,2,347088,27.9,,0
67,1,2,"nye, mrs. (elizabeth ramell)",1,29.0,0,0,C.A. 29395,10.5,F33,0
68,0,3,"crease, mr. ernest james",0,19.0,0,0,S.P. 3464,8.16,,0
69,1,3,"andersson, miss. erna alexandra",1,17.0,4,2,3101281,7.92,,0
70,0,3,"kink, mr. vincenz",0,26.0,2,0,315151,8.66,,0
71,0,2,"jenkin, mr. stephen curnow",0,32.0,0,0,C.A. 33111,10.5,,0
72,0,3,"goodwin, miss. lillian amy",1,16.0,5,2,CA 2144,46.9,,0
74,0,3,"chronopoulos, mr. apostolos",0,26.0,1,0,2680,14.45,,1
75,1,3,"bing, mr. lee",0,32.0,0,0,1601,56.5,,0
76,0,3,"moen, mr. sigurd hansen",0,25.0,0,0,348123,7.65,F G73,0
79,1,2,"caldwell, master. alden gates",0,0.83,0,2,248738,29.0,,0
80,1,3,"dowdell, miss. elizabeth",1,30.0,0,0,364516,12.48,,0
81,0,3,"waelens, mr. achille",0,22.0,0,0,345767,9.0,,0
82,1,3,"sheerlinck, mr. jan baptist",0,29.0,0,0,345779,9.5,,0
84,0,1,"carrau, mr. francisco m",0,28.0,0,0,113059,47.1,,0
85,1,2,"ilett, miss. bertha",1,17.0,0,0,SO/C 14885,10.5,,0
86,1,3,"backstrom, mrs. karl alfred (maria mathilda gustafsson)",1,33.0,3,0,3101278,15.85,,0
87,0,3,"ford, mr. william neal",0,16.0,1,3,W./C. 6608,34.38,,0
90,0,3,"celotti, mr. francesco",0,24.0,0,0,343275,8.05,,0
91,0,3,"christmann, mr. emil",0,29.0,0,0,343276,8.05,,0
92,0,3,"andreasson, mr. paul edvin",0,20.0,0,0,347466,7.85,,0
93,0,1,"chaffee, mr. herbert fuller",0,46.0,1,0,W.E.P. 5734,61.18,E31,0
94,0,3,"dean, mr. bertram frank",0,26.0,1,2,C.A. 2315,20.58,,0
95,0,3,"coxon, mr. daniel",0,59.0,0,0,364500,7.25,,0
98,1,1,"greenfield, mr. william bertram",0,23.0,0,1,PC 17759,63.36,D10 D12,1
99,1,2,"doling, mrs. john t (ada julia bone)",1,34.0,0,1,231919,23.0,,0
100,0,2,"kantor, mr. sinai",0,34.0,1,0,244367,26.0,,0
101,0,3,"petranec, miss. matilda",1,28.0,0,0,349245,7.9,,0
104,0,3,"johansson, mr. gustaf joel",0,33.0,0,0,7540,8.65,,0
105,0,3,"gustafsson, mr. anders vilhelm",0,37.0,2,0,3101276,7.92,,0
106,0,3,"mionoff, mr. stoytcho",0,28.0,0,0,349207,7.9,,0
107,1,3,"salkjelsvik, miss. anna kristine",1,21.0,0,0,343120,7.65,,0
109,0,3,"rekic, mr. tido",0,38.0,0,0,349249,7.9,,0
111,0,1,"porter, mr. walter chamberlain",0,47.0,0,0,110465,52.0,C110,0
112,0,3,"zabour, miss. hileni",1,14.5,1,0,2665,14.45,,1
113,0,3,"barton, mr. david john",0,22.0,0,0,324669,8.05,,0
114,0,3,"jussila, miss. katriina",1,20.0,1,0,4136,9.82,,0
115,0,3,"attalah, miss. malake",1,17.0,0,0,2627,14.46,,1
116,0,3,"pekoniemi, mr. edvard",0,21.0,0,0,STON/O 2. 3101294,7.92,,0
118,0,2,"turpin, mr. william john robert",0,29.0,1,0,11668,21.0,,0
120,0,3,"andersson, miss. ellis anna maria",1,2.0,4,2,347082,31.28,,0
123,0,2,"nasser, mr. nicholas",0,32.5,1,0,237736,30.07,,1
124,1,2,"webber, miss. susan",1,32.5,0,0,27267,13.0,E101,0
126,1,3,"nicola-yarred, master. elias",0,12.0,1,0,2651,11.24,,1
128,1,3,"madsen, mr. fridtjof arne",0,24.0,0,0,C 17369,7.14,,0
130,0,3,"ekstrom, mr. johan",0,45.0,0,0,347061,6.98,,0
131,0,3,"drazenoic, mr. jozef",0,33.0,0,0,349241,7.9,,1
132,0,3,"coelho, mr. domingos fernandeo",0,20.0,0,0,SOTON/O.Q. 3101307,7.05,,0
133,0,3,"robins, mrs. alexander a (grace charity laury)",1,47.0,1,0,A/5. 3337,14.5,,0
134,1,2,"weisz, mrs. leopold (mathilde francoise pede)",1,29.0,1,0,228414,26.0,,0
135,0,2,"sobey, mr. samuel james hayden",0,25.0,0,0,C.A. 29178,13.0,,0
136,0,2,"richard, mr. emile",0,23.0,0,0,SC/PARIS 2133,15.05,,1
137,1,1,"newsom, miss. helen monypeny",1,19.0,0,2,11752,26.28,D47,0
138,0,1,"futrelle, mr. jacques heath",0,37.0,1,0,113803,53.1,C123,0
139,0,3,"osen, mr. olaf elon",0,16.0,0,0,7534,9.22,,0
142,1,3,"nysten, miss. anna sofia",1,22.0,0,0,347081,7.75,,0
143,1,3,"hakkarainen, mrs. pekka pietari (elin matilda dolck)",1,24.0,1,0,STON/O2. 3101279,15.85,,0
144,0,3,"burke, mr. jeremiah",0,19.0,0,0,365222,6.75,,2
145,0,2,"andrew, mr. edgardo samuel",0,18.0,0,0,231945,11.5,,0
146,0,2,"nicholls, mr. joseph charles",0,19.0,1,1,C.A. 33112,36.75,,0
147,1,3,"andersson, mr. august edvard (""wennerstrom"")",0,27.0,0,0,350043,7.8,,0
148,0,3,"ford, miss. robina maggie ""ruby""",1,9.0,2,2,W./C. 6608,34.38,,0
149,0,2,"navratil, mr. michel (""louis m hoffman"")",0,36.5,0,2,230080,26.0,F2,0
150,0,2,"byles, rev. thomas roussel davids",0,42.0,0,0,244310,13.0,,0
151,0,2,"bateman, rev. robert james",0,51.0,0,0,S.O.P. 1166,12.52,,0
153,0,3,"meo, mr. alfonzo",0,55.5,0,0,A.5. 11206,8.05,,0
154,0,3,"van billiard, mr. austin blyler",0,40.5,0,2,A/5. 851,14.5,,0
156,0,1,"williams, mr. charles duane",0,51.0,0,1,PC 17597,61.38,,1
157,1,3,"gilnagh, miss. katherine ""katie""",1,16.0,0,0,35851,7.73,,2
158,0,3,"corn, mr. harry",0,30.0,0,0,SOTON/OQ 392090,8.05,,0
161,0,3,"cribb, mr. john hatfield",0,44.0,0,1,371362,16.1,,0
162,1,2,"watt, mrs. james (elizabeth ""bessie"" inglis milne)",1,40.0,0,0,C.A. 33595,15.75,,0
163,0,3,"bengtsson, mr. john viktor",0,26.0,0,0,347068,7.78,,0
164,0,3,"calic, mr. jovo",0,17.0,0,0,315093,8.66,,0
165,0,3,"panula, master. eino viljami",0,1.0,4,1,3101295,39.69,,0
166,1,3,"goldsmith, master. frank john william ""frankie""",0,9.0,0,2,363291,20.52,,0
168,0,3,"skoog, mrs. william (anna bernhardina karlsson)",1,45.0,1,4,347088,27.9,,0
170,0,3,"ling, mr. lee",0,28.0,0,0,1601,56.5,,0
171,0,1,"van der hoef, mr. wyckoff",0,61.0,0,0,111240,33.5,B19,0
172,0,3,"rice, master. arthur",0,4.0,4,1,382652,29.12,,2
173,1,3,"johnson, miss. eleanor ileen",1,1.0,1,1,347742,11.13,,0
174,0,3,"sivola, mr. antti wilhelm",0,21.0,0,0,STON/O 2. 3101280,7.92,,0
175,0,1,"smith, mr. james clinch",0,56.0,0,0,17764,30.7,A7,1
176,0,3,"klasen, mr. klas albin",0,18.0,1,1,350404,7.85,,0
178,0,1,"isham, miss. ann elizabeth",1,50.0,0,0,PC 17595,28.71,C49,1
179,0,2,"hale, mr. reginald",0,30.0,0,0,250653,13.0,,0
180,0,3,"leonard, mr. lionel",0,36.0,0,0,LINE,0.0,,0
183,0,3,"asplund, master. clarence gustaf hugo",0,9.0,4,2,347077,31.39,,0
184,1,2,"becker, master. richard f",0,1.0,2,1,230136,39.0,F4,0
185,1,3,"kink-heilmann, miss. luise gretchen",1,4.0,0,2,315153,22.02,,0
188,1,1,"romaine, mr. charles hallace (""mr c rolmane"")",0,45.0,0,0,111428,26.55,,0
189,0,3,"bourke, mr. john",0,40.0,1,1,364849,15.5,,2
190,0,3,"turcin, mr. stjepan",0,36.0,0,0,349247,7.9,,0
191,1,2,"pinsky, mrs. (rosa)",1,32.0,0,0,234604,13.0,,0
192,0,2,"carbines, mr. william",0,19.0,0,0,28424,13.0,,0
193,1,3,"andersen-jensen, miss. carla christine nielsine",1,19.0,1,0,350046,7.85,,0
194,1,2,"navratil, master. michel m",0,3.0,1,1,230080,26.0,F2,0
195,1,1,"brown, mrs. james joseph (margaret tobin)",1,44.0,0,0,PC 17610,27.72,B4,1
198,0,3,"olsen, mr. karl siegwart andreas",0,42.0,0,1,4579,8.4,,0
200,0,2,"yrois, miss. henriette (""mrs harbeck"")",1,24.0,0,0,248747,13.0,,0
201,0,3,"vande walle, mr. nestor cyriel",0,28.0,0,0,345770,9.5,,0
203,0,3,"johanson, mr. jakob alfred",0,34.0,0,0,3101264,6.5,,0
204,0,3,"youseff, mr. gerious",0,45.5,0,0,2628,7.22,,1
205,1,3,"cohen, mr. gurshon ""gus""",0,18.0,0,0,A/5 3540,8.05,,0
206,0,3,"strom, miss. telma matilda",1,2.0,0,1,347054,10.46,G6,0
207,0,3,"backstrom, mr. karl alfred",0,32.0,1,0,3101278,15.85,,0
208,1,3,"albimona, mr. nassef cassem",0,26.0,0,0,2699,18.79,,1
209,1,3,"carr, miss. helen ""ellen""",1,16.0,0,0,367231,7.75,,2
210,1,1,"blank, mr. henry",0,40.0,0,0,112277,31.0,A31,1
211,0,3,"ali, mr. ahmed",0,24.0,0,0,SOTON/O.Q. 3101311,7.05,,0
212,1,2,"cameron, miss. clear annie",1,35.0,0,0,F.C.C. 13528,21.0,,0
213,0,3,"perkin, mr. john henry",0,22.0,0,0,A/5 21174,7.25,,0
214,0,2,"givard, mr. hans kristensen",0,30.0,0,0,250646,13.0,,0
217,1,3,"honkanen, miss. eliina",1,27.0,0,0,STON/O2. 3101283,7.92,,0
218,0,2,"jacobsohn, mr. sidney samuel",0,42.0,1,0,243847,27.0,,0
220,0,2,"harris, mr. walter",0,30.0,0,0,W/C 14208,10.5,,0
221,1,3,"sunderland, mr. victor francis",0,16.0,0,0,SOTON/OQ 392089,8.05,,0
222,0,2,"bracken, mr. james h",0,27.0,0,0,220367,13.0,,0
223,0,3,"green, mr. george henry",0,51.0,0,0,21440,8.05,,0
226,0,3,"berglund, mr. karl ivar sven",0,22.0,0,0,PP 4348,9.35,,0
227,1,2,"mellors, mr. william john",0,19.0,0,0,SW/PP 751,10.5,,0
228,0,3,"lovell, mr. john hall (""henry"")",0,20.5,0,0,A/5 21173,7.25,,0
229,0,2,"fahlstrom, mr. arne jonas",0,18.0,0,0,236171,13.0,,0
232,0,3,"larsson, mr. bengt edvin",0,29.0,0,0,347067,7.78,,0
233,0,2,"sjostedt, mr. ernst adolf",0,59.0,0,0,237442,13.5,,0
234,1,3,"asplund, miss. lillian gertrud",1,5.0,4,2,347077,31.39,,0
235,0,2,"leyson, mr. robert william norman",0,24.0,0,0,C.A. 29566,10.5,,0
237,0,2,"hold, mr. stephen",0,44.0,1,0,26707,26.0,,0
238,1,2,"collyer, miss. marjorie ""lottie""",1,8.0,0,2,C.A. 31921,26.25,,0
239,0,2,"pengelly, mr. frederick william",0,19.0,0,0,28665,10.5,,0
240,0,2,"hunt, mr. george henry",0,33.0,0,0,SCO/W 1585,12.28,,0
243,0,2,"coleridge, mr. reginald charles",0,29.0,0,0,W./C. 14263,10.5,,0
244,0,3,"maenpaa, mr. matti alexanteri",0,22.0,0,0,STON/O 2. 3101275,7.12,,0
245,0,3,"attalah, mr. sleiman",0,30.0,0,0,2694,7.22,,1
247,0,3,"lindahl, miss. agda thorilda viktoria",1,25.0,0,0,347071,7.78,,0
248,1,2,"hamalainen, mrs. william (anna)",1,24.0,0,2,250649,14.5,,0
249,1,1,"beckwith, mr. richard leonard",0,37.0,1,1,11751,52.55,D35,0
250,0,2,"carter, rev. ernest courtenay",0,54.0,1,0,244252,26.0,,0
252,0,3,"strom, mrs. wilhelm (elna matilda persson)",1,29.0,1,1,347054,10.46,G6,0
253,0,1,"stead, mr. william thomas",0,62.0,0,0,113514,26.55,C87,0
254,0,3,"lobb, mr. william arthur",0,30.0,1,0,A/5. 3336,16.1,,0
255,0,3,"rosblom, mrs. viktor (helena wilhelmina)",1,41.0,0,2,370129,20.21,,0
256,1,3,"touma, mrs. darwis (hanne youssef razi)",1,29.0,0,2,2650,15.25,,1
260,1,2,"parrish, mrs. (lutie davis)",1,50.0,0,1,230433,26.0,,0
262,1,3,"asplund, master. edvin rojj felix",0,3.0,4,2,347077,31.39,,0
264,0,1,"harrison, mr. william",0,40.0,0,0,112059,0.0,B94,0
266,0,2,"reeves, mr. david",0,36.0,0,0,C.A. 17248,10.5,,0
267,0,3,"panula, mr. ernesti arvid",0,16.0,4,1,3101295,39.69,,0
268,1,3,"persson, mr. ernst ulrik",0,25.0,1,0,347083,7.78,,0
272,1,3,"tornquist, mr. william henry",0,25.0,0,0,LINE,0.0,,0
273,1,2,"mellinger, mrs. (elizabeth anne maidment)",1,41.0,0,1,250644,19.5,,0
274,0,1,"natsch, mr. charles h",0,37.0,0,1,PC 17596,29.7,C118,1
277,0,3,"lindblom, miss. augusta charlotta",1,45.0,0,0,347073,7.75,,0
279,0,3,"rice, master. eric",0,7.0,4,1,382652,29.12,,2
280,1,3,"abbott, mrs. stanton (rosa hunt)",1,35.0,1,1,C.A. 2673,20.25,,0
282,0,3,"olsson, mr. nils johan goransson",0,28.0,0,0,347464,7.85,,0
283,0,3,"de pelsmaeker, mr. alfons",0,16.0,0,0,345778,9.5,,0
284,1,3,"dorking, mr. edward arthur",0,19.0,0,0,A/5. 10482,8.05,,0
286,0,3,"stankovic, mr. ivan",0,33.0,0,0,349239,8.66,,1
287,1,3,"de mulder, mr. theodore",0,30.0,0,0,345774,9.5,,0
288,0,3,"naidenoff, mr. penko",0,22.0,0,0,349206,7.9,,0
289,1,2,"hosono, mr. masabumi",0,42.0,0,0,237798,13.0,,0
290,1,3,"connolly, miss. kate",1,22.0,0,0,370373,7.75,,2
293,0,2,"levy, mr. rene jacques",0,36.0,0,0,SC/Paris 2163,12.88,D,1
294,0,3,"haas, miss. aloisia",1,24.0,0,0,349236,8.85,,0
295,0,3,"mineff, mr. ivan",0,24.0,0,0,349233,7.9,,0
297,0,3,"hanna, mr. mansour",0,23.5,0,0,2693,7.23,,1
303,0,3,"johnson, mr. william cahoone jr",0,19.0,0,0,LINE,0.0,,0
309,0,2,"abelson, mr. samuel",0,30.0,1,0,P/PP 3381,24.0,,1
310,1,1,"francatelli, miss. laura mabel",1,30.0,0,0,PC 17485,56.93,E36,1
313,0,2,"lahtinen, mrs. william (anna sylfven)",1,26.0,1,1,250651,26.0,,0
314,0,3,"hendekovic, mr. ignjac",0,28.0,0,0,349243,7.9,,0
315,0,2,"hart, mr. benjamin",0,43.0,1,1,F.C.C. 13529,26.25,,0
316,1,3,"nilsson, miss. helmina josefina",1,26.0,0,0,347470,7.85,,0
317,1,2,"kantor, mrs. sinai (miriam sternin)",1,24.0,1,0,244367,26.0,,0
318,0,2,"moraweck, dr. ernest",0,54.0,0,0,29011,14.0,,0
321,0,3,"dennis, mr. samuel",0,22.0,0,0,A/5 21172,7.25,,0
322,0,3,"danoff, mr. yoto",0,27.0,0,0,349219,7.9,,0
323,1,2,"slayter, miss. hilda mary",1,30.0,0,0,234818,12.35,,2
324,1,2,"caldwell, mrs. albert francis (sylvia mae harbaugh)",1,22.0,1,1,248738,29.0,,0
327,0,3,"nysveen, mr. johan hansen",0,61.0,0,0,345364,6.24,,0
328,1,2,"ball, mrs. (ada e hall)",1,36.0,0,0,28551,13.0,D,0
329,1,3,"goldsmith, mrs. frank john (emily alice brown)",1,31.0,1,1,363291,20.52,,0
330,1,1,"hippach, miss. jean gertrude",1,16.0,0,1,111361,57.98,B18,1
332,0,1,"partner, mr. austen",0,45.5,0,0,113043,28.5,C124,0
334,0,3,"vander planke, mr. leo edmondus",0,16.0,2,0,345764,18.0,,0
339,1,3,"dahl, mr. karl edwart",0,45.0,0,0,7598,8.05,,0
340,0,1,"blackwell, mr. stephen weart",0,45.0,0,0,113784,35.5,T,0
341,1,2,"navratil, master. edmond roger",0,2.0,1,1,230080,26.0,F2,0
343,0,2,"collander, mr. erik gustaf",0,28.0,0,0,248740,13.0,,0
344,0,2,"sedgwick, mr. charles frederick waddington",0,25.0,0,0,244361,13.0,,0
345,0,2,"fox, mr. stanley hubert",0,36.0,0,0,229236,13.0,,0
346,1,2,"brown, miss. amelia ""mildred""",1,24.0,0,0,248733,13.0,F33,0
347,1,2,"smith, miss. marion elsie",1,40.0,0,0,31418,13.0,,0
349,1,3,"coutts, master. william loch ""william""",0,3.0,1,1,C.A. 37671,15.9,,0
350,0,3,"dimic, mr. jovan",0,42.0,0,0,315088,8.66,,0
351,0,3,"odahl, mr. nils martin",0,23.0,0,0,7267,9.22,,0
353,0,3,"elias, mr. tannous",0,15.0,1,1,2695,7.23,,1
354,0,3,"arnold-franchi, mr. josef",0,25.0,1,0,349237,17.8,,0
356,0,3,"vanden steen, mr. leo peter",0,28.0,0,0,345783,9.5,,0
357,1,1,"bowerman, miss. elsie edith",1,22.0,0,1,113505,55.0,E33,0
358,0,2,"funk, miss. annie clemmer",1,38.0,0,0,237671,13.0,,0
361,0,3,"skoog, mr. wilhelm",0,40.0,1,4,347088,27.9,,0
362,0,2,"del carlo, mr. sebastiano",0,29.0,1,0,SC/PARIS 2167,27.72,,1
363,0,3,"barbara, mrs. (catherine david)",1,45.0,0,1,2691,14.45,,1
364,0,3,"asim, mr. adola",0,35.0,0,0,SOTON/O.Q. 3101310,7.05,,0
366,0,3,"adahl, mr. mauritz nils martin",0,30.0,0,0,C 7076,7.25,,0
371,1,1,"harder, mr. george achilles",0,25.0,1,0,11765,55.44,E50,1
372,0,3,"wiklund, mr. jakob alfred",0,18.0,1,0,3101267,6.5,,0
373,0,3,"beavan, mr. william thomas",0,19.0,0,0,323951,8.05,,0
375,0,3,"palsson, miss. stina viola",1,3.0,3,1,349909,21.08,,0
377,1,3,"landergren, miss. aurora adelia",1,22.0,0,0,C 7077,7.25,,0
379,0,3,"betros, mr. tannous",0,20.0,0,0,2648,4.01,,1
380,0,3,"gustafsson, mr. karl gideon",0,19.0,0,0,347069,7.78,,0
382,1,3,"nakid, miss. maria (""mary"")",1,1.0,0,2,2653,15.74,,1
383,0,3,"tikkanen, mr. juho",0,32.0,0,0,STON/O 2. 3101293,7.92,,0
384,1,1,"holverson, mrs. alexander oskar (mary aline towner)",1,35.0,1,0,113789,52.0,,0
387,0,3,"goodwin, master. sidney leonard",0,1.0,5,2,CA 2144,46.9,,0
388,1,2,"buss, miss. kate",1,36.0,0,0,27849,13.0,,0
390,1,2,"lehmann, miss. bertha",1,17.0,0,0,SC 1748,12.0,,1
392,1,3,"jansson, mr. carl olof",0,21.0,0,0,350034,7.8,,0
393,0,3,"gustafsson, mr. johan birger",0,28.0,2,0,3101277,7.92,,0
395,1,3,"sandstrom, mrs. hjalmar (agnes charlotta bengtsson)",1,24.0,0,2,PP 9549,16.7,G6,0
396,0,3,"johansson, mr. erik",0,22.0,0,0,350052,7.8,,0
397,0,3,"olsson, miss. elina",1,31.0,0,0,350407,7.85,,0
398,0,2,"mckane, mr. peter david",0,46.0,0,0,28403,26.0,,0
399,0,2,"pain, dr. alfred",0,23.0,0,0,244278,10.5,,0
400,1,2,"trout, mrs. william h (jessie l)",1,28.0,0,0,240929,12.65,,0
401,1,3,"niskanen, mr. juha",0,39.0,0,0,STON/O 2. 3101289,7.92,,0
402,0,3,"adams, mr. john",0,26.0,0,0,341826,8.05,,0
403,0,3,"jussila, miss. mari aina",1,21.0,1,0,4137,9.82,,0
404,0,3,"hakkarainen, mr. pekka pietari",0,28.0,1,0,STON/O2. 3101279,15.85,,0
405,0,3,"oreskovic, miss. marija",1,20.0,0,0,315096,8.66,,0
406,0,2,"gale, mr. shadrach",0,34.0,1,0,28664,21.0,,0
407,0,3,"widegren, mr. carl/charles peter",0,51.0,0,0,347064,7.75,,0
408,1,2,"richards, master. william rowe",0,3.0,1,1,29106,18.75,,0
409,0,3,"birkeland, mr. hans martin monsen",0,21.0,0,0,312992,7.78,,0
415,1,3,"sundman, mr. johan julian",0,44.0,0,0,STON/O 2. 3101269,7.92,,0
417,1,2,"drew, mrs. james vivian (lulu thorne christian)",1,34.0,1,1,28220,32.5,,0
418,1,2,"silven, miss. lyyli karoliina",1,18.0,0,2,250652,13.0,,0
419,0,2,"matthews, mr. william john",0,30.0,0,0,28228,13.0,,0
420,0,3,"van impe, miss. catharina",1,10.0,0,2,345773,24.15,,0
422,0,3,"charters, mr. david",0,21.0,0,0,A/5. 13032,7.73,,2
423,0,3,"zimmerman, mr. leo",0,29.0,0,0,315082,7.88,,0
424,0,3,"danbom, mrs. ernst gilbert (anna sigrid maria brogren)",1,28.0,1,1,347080,14.4,,0
425,0,3,"rosblom, mr. viktor richard",0,18.0,1,1,370129,20.21,,0
427,1,2,"clarke, mrs. charles v (ada maria winfield)",1,28.0,1,0,2003,26.0,,0
428,1,2,"phillips, miss. kate florence (""mrs kate louise phillips marshall"")",1,19.0,0,0,250655,26.0,,0
430,1,3,"pickard, mr. berk (berk trembisky)",0,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,0
431,1,1,"bjornstrom-steffansson, mr. mauritz hakan",0,28.0,0,0,110564,26.55,C52,0
433,1,2,"louch, mrs. charles alexander (alice adelaide slow)",1,42.0,1,0,SC/AH 3085,26.0,,0
434,0,3,"kallio, mr. nikolai erland",0,17.0,0,0,STON/O 2. 3101274,7.12,,0
435,0,1,"silvey, mr. william baird",0,50.0,1,0,13507,55.9,E44,0
437,0,3,"ford, miss. doolina margaret ""daisy""",1,21.0,2,2,W./C. 6608,34.38,,0
438,1,2,"richards, mrs. sidney (emily hocking)",1,24.0,2,3,29106,18.75,,0
440,0,2,"kvillner, mr. johan henrik johannesson",0,31.0,0,0,C.A. 18723,10.5,,0
441,1,2,"hart, mrs. benjamin (esther ada bloomfield)",1,45.0,1,1,F.C.C. 13529,26.25,,0
442,0,3,"hampe, mr. leon",0,20.0,0,0,345769,9.5,,0
443,0,3,"petterson, mr. johan emil",0,25.0,1,0,347076,7.78,,0
444,1,2,"reynaldo, ms. encarnacion",1,28.0,0,0,230434,13.0,,0
447,1,2,"mellinger, miss. madeleine violet",1,13.0,0,1,250644,19.5,,0
448,1,1,"seward, mr. frederic kimber",0,34.0,0,0,113794,26.55,,0
449,1,3,"baclini, miss. marie catherine",1,5.0,2,1,2666,19.26,,1
450,1,1,"peuchen, major. arthur godfrey",0,52.0,0,0,113786,30.5,C104,0
451,0,2,"west, mr. edwy arthur",0,36.0,1,2,C.A. 34651,27.75,,0
453,0,1,"foreman, mr. benjamin laventall",0,30.0,0,0,113051,27.75,C111,1
456,1,3,"jalsevac, mr. ivan",0,29.0,0,0,349240,7.9,,1
459,1,2,"toomey, miss. ellen",1,50.0,0,0,F.C.C. 13531,10.5,,0
461,1,1,"anderson, mr. harry",0,48.0,0,0,19952,26.55,E12,0
462,0,3,"morley, mr. william",0,34.0,0,0,364506,8.05,,0
463,0,1,"gee, mr. arthur h",0,47.0,0,0,111320,38.5,E63,0
464,0,2,"milling, mr. jacob christian",0,48.0,0,0,234360,13.0,,0
466,0,3,"goncalves, mr. manuel estanslas",0,38.0,0,0,SOTON/O.Q. 3101306,7.05,,0
468,0,1,"smart, mr. john montgomery",0,56.0,0,0,113792,26.55,,0
470,1,3,"baclini, miss. helene barbara",1,0.75,2,1,2666,19.26,,1
472,0,3,"cacic, mr. luka",0,38.0,0,0,315089,8.66,,0
473,1,2,"west, mrs. edwy arthur (ada mary worth)",1,33.0,1,2,C.A. 34651,27.75,,0
474,1,2,"jerwan, mrs. amin s (marie marthe thuillard)",1,23.0,0,0,SC/AH Basle 541,13.79,D,1
475,0,3,"strandberg, miss. ida sofia",1,22.0,0,0,7553,9.84,,0
477,0,2,"renouf, mr. peter henry",0,34.0,1,0,31027,21.0,,0
478,0,3,"braund, mr. lewis richard",0,29.0,1,0,3460,7.05,,0
